1370005.958,3,1.068,-9.473,-2.154,4,-0.034,0.004,-0.077
1370005.964,3,1.098,-9.607,-2.081,4,-0.021,0.016,-0.078
1370005.967,3,1.098,-9.607,-2.081,4,-0.009,0.023,-0.08
1370005.974,3,1.098,-9.607,-2.081,4,-0.009,0.023,-0.08
1370005.977,3,1.155,-9.742,-1.835,4,0.001,0.029,-0.078
1370005.983,3,1.155,-9.742,-1.835,4,0.007,0.036,-0.074
1370005.988,3,1.158,-9.803,-1.733,4,0.012,0.04,-0.067
1370005.992,3,1.158,-9.803,-1.733,4,0.018,0.046,-0.06
1370005.998,3,1.056,-9.74,-1.686,4,0.025,0.051,-0.053
1370006.003,3,1.056,-9.74,-1.686,4,0.031,0.06,-0.048
1370006.007,3,0.943,-9.653,-1.587,4,0.034,0.077,-0.042
1370006.013,3,0.943,-9.653,-1.587,4,0.031,0.102,-0.038
1370006.019,3,0.571,-9.687,-1.718,4,0.025,0.136,-0.038
1370006.024,3,0.571,-9.687,-1.718,4,0.016,0.172,-0.046
1370006.026,3,-0.011,-9.787,-1.805,4,0.011,0.201,-0.061
1370006.028,3,-0.011,-9.787,-1.805,4,0.01,0.219,-0.078
1370006.033,3,-0.383,-9.888,-1.724,4,0.011,0.226,-0.091
1370006.037,3,-0.383,-9.888,-1.724,4,0.014,0.224,-0.096
1370006.042,3,-0.383,-9.888,-1.724,4,0.014,0.224,-0.096
1370006.044,3,-0.206,-9.985,-1.632,4,0.014,0.219,-0.096
1370006.048,3,-0.206,-9.985,-1.632,4,0.013,0.213,-0.093
1370006.053,3,-0.206,-9.985,-1.632,4,0.013,0.213,-0.093
1370006.059,3,0.261,-10.038,-1.708,4,0.015,0.206,-0.086
1370006.064,3,0.261,-10.038,-1.708,4,0.016,0.193,-0.083
1370006.068,3,0.522,-10.032,-1.742,4,0.02,0.177,-0.084
1370006.073,3,0.522,-10.032,-1.742,4,0.028,0.158,-0.086
1370006.077,3,0.734,-9.986,-1.76,4,0.028,0.158,-0.086
1370006.082,3,0.946,-9.926,-1.721,4,0.034,0.142,-0.092
1370006.085,3,1.08,-9.908,-1.748,4,0.04,0.133,-0.111
1370006.089,3,1.119,-9.96,-1.772,,,,
1370006.094,3,1.119,-9.96,-1.772,4,0.042,0.142,-0.126
1370006.097,3,1.073,-10.041,-1.689,4,0.042,0.142,-0.126
1370006.104,3,0.956,-10.16,-1.507,4,0.044,0.159,-0.146
1370006.108,3,0.785,-10.272,-1.249,4,0.039,0.185,-0.164
1370006.113,3,0.579,-10.458,-0.77,4,0.037,0.225,-0.182
1370006.118,3,0.579,-10.458,-0.77,4,0.035,0.272,-0.199
1370006.124,3,0.372,-10.7,-0.078,4,0.035,0.272,-0.199
1370006.128,3,0.207,-10.934,0.102,4,0.042,0.327,-0.213
1370006.133,3,0.145,-10.98,-0.201,4,0.054,0.381,-0.225
1370006.138,3,0.145,-10.98,-0.201,4,0.05,0.411,-0.236
1370006.143,3,0.04,-10.745,-0.927,4,0.05,0.411,-0.236
1370006.146,3,0.018,-10.265,-0.922,4,0,0.409,-0.249
1370006.149,3,0.141,-9.76,-0.213,4,-0.119,0.386,-0.268
1370006.153,3,0.231,-9.495,0.435,4,-0.262,0.373,-0.3
1370006.16,3,0.159,-9.37,0.432,4,-0.399,0.39,-0.359
1370006.166,3,0.159,-9.37,0.432,4,-0.556,0.435,-0.45
1370006.168,3,-0.081,-9.384,0.399,4,-0.556,0.435,-0.45
1370006.173,3,-0.415,-9.667,0.731,4,-0.77,0.485,-0.552
1370006.178,3,-0.796,-10.248,0.98,4,-1.008,0.532,-0.655
1370006.184,3,-1.215,-11.094,1.365,4,-1.225,0.574,-0.747
1370006.187,3,-1.215,-11.094,1.365,4,-1.411,0.602,-0.82
1370006.193,3,-1.563,-12.124,1.532,4,-1.411,0.602,-0.82
1370006.198,3,-1.887,-13.294,0.888,4,-1.578,0.618,-0.874
1370006.203,3,-2.319,-14.459,-2.35,4,-1.736,0.629,-0.911
1370006.206,3,-3.051,-15.762,-6.612,4,-1.923,0.63,-0.933
1370006.213,3,-3.051,-15.762,-6.612,4,-2.182,0.595,-0.932
1370006.218,3,-3.966,-17.776,-8.265,4,-2.182,0.595,-0.932
1370006.223,3,-4.679,-20.311,-8.051,4,-2.476,0.542,-0.91
1370006.224,3,-5.06,-22.467,-8.203,4,-2.71,0.506,-0.888
1370006.23,3,-5.053,-23.62,-7.866,4,-2.903,0.48,-0.887
1370006.233,3,-5.053,-23.62,-7.866,4,-3.107,0.436,-0.908
1370006.239,3,-2.571,-22.084,-5.401,4,-3.107,0.436,-0.908
1370006.244,3,-2.571,-22.084,-5.401,4,-3.429,0.131,-0.957
1370006.247,3,-2.571,-22.084,-5.401,4,-3.429,0.131,-0.957
1370006.253,3,-1.568,-21.132,-4.745,4,-3.526,-0.152,-0.968
1370006.258,3,-0.561,-20.311,-4.416,4,-3.588,-0.437,-0.964
1370006.264,3,0.533,-19.61,-4.038,4,-3.633,-0.619,-0.942
1370006.267,3,1.626,-19.112,-3.587,4,-3.68,-0.627,-0.903
1370006.274,3,2.461,-18.809,-3.285,4,-3.733,-0.441,-0.864
1370006.278,3,2.461,-18.809,-3.285,4,-3.782,-0.113,-0.833
1370006.283,3,2.989,-18.598,-3.31,4,-3.782,-0.113,-0.833
1370006.285,3,3.138,-18.287,-3.486,4,-3.822,0.27,-0.806
1370006.287,3,3.074,-17.846,-3.603,4,-3.854,0.621,-0.776
1370006.293,3,2.664,-17.411,-3.895,4,-3.875,0.903,-0.737
