1370769.823,3,4.822,-9.157,-5.969,4,-1.377,-0.454,-0.562
1370769.827,3,4.822,-9.157,-5.969,4,-1.344,-0.054,-0.446
1370769.832,3,3.731,-8.641,-9.266,4,-1.344,-0.054,-0.446
1370769.837,3,3.731,-8.641,-9.266,4,-1.261,0.179,-0.307
1370769.842,3,4.418,-8.899,-9.917,4,-1.261,0.179,-0.307
1370769.845,3,4.418,-8.899,-9.917,4,-1.046,0.281,-0.138
1370769.847,3,4.418,-8.899,-9.917,4,-1.046,0.281,-0.138
1370769.853,3,4.451,-9.261,-11.052,4,-1.046,0.281,-0.138
1370769.856,3,4.451,-9.261,-11.052,4,-0.75,0.502,0.019
1370769.861,3,3.071,-9.493,-12.896,4,-0.75,0.502,0.019
1370769.863,3,3.071,-9.493,-12.896,4,-0.437,0.511,0.14
1370769.868,3,3.071,-9.493,-12.896,4,-0.437,0.511,0.14
1370769.871,3,3.071,-9.493,-12.896,4,-0.437,0.511,0.14
1370769.876,3,2.538,-10.627,-13.496,4,-0.437,0.511,0.14
1370769.882,3,1.687,-11.424,-13.075,4,0.014,0.55,0.183
1370769.885,3,1.687,-11.424,-13.075,4,0.411,0.546,0.16
1370769.891,3,-0.132,-12.84,-13.005,4,0.411,0.546,0.16
1370769.896,3,-0.132,-12.84,-13.005,4,0.803,0.418,0.023
1370769.901,3,-0.551,-16.02,-12.398,4,0.803,0.418,0.023
1370769.903,3,-0.551,-16.02,-12.398,4,1.172,0.138,-0.195
1370769.906,3,-0.551,-16.02,-12.398,4,1.172,0.138,-0.195
1370769.912,3,0.633,-23.991,-8.254,4,1.172,0.138,-0.195
1370769.916,3,0.633,-23.991,-8.254,4,1.284,-0.026,-0.332
1370769.922,3,-0.649,-36,-1.173,4,1.34,-0.126,-0.491
1370769.927,3,-0.649,-36,-1.173,4,1.381,-0.103,-0.637
1370769.934,3,1.365,-39.215,5.956,4,1.38,0.013,-0.717
1370769.937,3,1.365,-39.215,5.956,4,1.267,0.179,-0.687
1370769.942,3,6.081,-38.003,13.689,4,1.081,0.539,-0.602
1370769.947,3,6.081,-38.003,13.689,4,0.883,1.138,-0.557
1370769.951,3,6.081,-38.003,13.689,4,0.883,1.138,-0.557
1370769.958,3,2.374,-32.373,21.798,4,0.714,1.875,-0.546
1370769.964,3,-6.036,-18.749,14.56,4,0.36,3.407,-0.376
1370769.969,3,-6.036,-18.749,14.56,4,-0.054,3.988,-0.252
1370769.972,3,-20.146,-0.101,-12.561,4,-0.659,4.128,-0.241
1370769.976,3,-20.146,-0.101,-12.561,4,-1.41,3.535,-0.43
1370769.981,3,-17.144,-12.09,-17.705,4,-2.245,2.273,-0.732
1370769.983,3,-17.144,-12.09,-17.705,4,-2.807,0.664,-1.103
1370769.988,3,-17.144,-12.09,-17.705,4,-2.807,0.664,-1.103
1370769.99,3,-17.144,-12.09,-17.705,4,-3.309,-0.949,-1.49
1370769.995,3,-0.543,-22.68,-12.213,4,-3.309,-0.949,-1.49
1370770,3,9.761,-28.425,-14.802,4,-4.708,-3.076,-2.215
1370770.002,3,9.761,-28.425,-14.802,4,-5.168,-3.235,-2.595
1370770.006,3,9.761,-28.425,-14.802,4,-5.168,-3.235,-2.595
1370770.011,3,5.666,-32.926,-11.606,4,-5.638,-2.905,-2.909
1370770.016,3,5.666,-32.926,-11.606,4,-6.278,-2.3,-3.082
1370770.021,3,4.105,-38.937,-9.938,4,-6.667,-1.452,-3.081
1370770.022,3,4.105,-38.937,-9.938,4,-6.957,-0.439,-2.95
1370770.026,3,4.105,-38.937,-9.938,4,-6.957,-0.439,-2.95
1370770.031,3,3.298,-39.215,-11.527,4,-7.293,0.404,-2.742
1370770.036,3,3.066,-38.189,-12.143,4,-7.444,0.973,-2.53
1370770.042,3,3.527,-36.504,-12.227,4,-7.432,1.392,-2.371
1370770.046,3,3.302,-35.048,-12.312,4,-7.334,1.797,-2.335
1370770.052,3,1.876,-33.826,-11.513,4,-7.196,2.167,-2.434
1370770.057,3,-0.022,-32.232,-10.67,4,-7.013,2.444,-2.586
1370770.063,3,-1.87,-30.305,-9.972,4,-6.763,2.599,-2.712
1370770.067,3,-3.399,-28.309,-9.437,4,-6.46,2.557,-2.775
1370770.071,3,-3.831,-25.531,-9.625,4,-6.108,2.288,-2.768
1370770.076,3,-3.997,-22.532,-9.165,4,-5.723,1.842,-2.702
1370770.082,3,-4.037,-19.939,-8.071,4,-5.299,1.287,-2.614
1370770.085,3,-3.32,-16.844,-6.861,4,-4.812,0.712,-2.516
1370770.092,3,-3.066,-13.997,-4.677,4,-4.302,0.174,-2.399
1370770.096,3,-3.111,-11.867,-1.432,4,-3.776,-0.315,-2.271
1370770.102,3,-2.8,-10.484,1.639,4,-3.228,-0.691,-2.102
1370770.107,3,-2.151,-9.255,3.961,4,-2.64,-0.902,-1.882
